Country;ID;Annual area of forest loss due to fire, km2;;;;;;;;;;;;;;;;;;;;% from total loss
;;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;total;
Afghanistan;1;0;1;2;2;2;1;2;1;1;1;1;0;0;0;0;0;0;0;0;15;80
Albania;2;11;2;3;7;2;1;39;38;4;1;7;34;18;4;1;4;15;11;5;208;49
Algeria;3;26;17;16;19;25;33;35;51;65;11;43;83;44;83;39;70;472;34;50;1?216;67
American Samoa;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Andorra;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Angola;6;10;7;4;3;5;3;5;11;5;5;3;6;15;13;25;17;15;11;8;172;0,4
Anguilla;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Antarctica;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Antigua and Barbuda;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
Argentina;10;106;91;275;366;205;194;254;348;393;301;351;409;794;245;331;264;306;96;105;5?436;9
Armenia;11;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;28
Aruba;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
Australia;13;5?887;4?071;7?246;1?118;4?176;2?140;3?805;2?045;1?622;3?654;612;784;2?081;3?299;2?995;4?093;2?176;3?313;18?826;73?942;78
Austria;14;2;7;3;4;3;2;6;11;4;5;3;4;1;1;0;1;1;1;1;59;2
Azerbaijan;15;2;2;2;1;1;2;1;1;1;2;0;1;1;2;0;0;0;0;0;20;25
Bahamas;16;1;3;0;2;8;3;1;6;2;0;3;1;11;6;9;23;28;6;8;121;48
Bahrain;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
